X0Y1,Defect,StrainRate,Temperature,FractureStrain,FractureStrength,YoungsModulus
0,0,0.001,1,0.1777,99.006122,975.263118
0,0,0.001,1,0.1784,98.997406,975.284413
0,0,0.001,1,0.1784,98.99672,975.430594
0,0,0.001,1,0.1784,98.99589,975.352696
0,0,0.001,1,0.1777,98.988729,975.270406
0,0,0.001,10,0.1697,98.736311,971.92741
0,0,0.001,10,0.1702,98.74602,971.616025
0,0,0.001,10,0.1706,98.735373,971.79944
0,0,0.001,10,0.172,98.779441,972.936366
0,0,0.001,10,0.1701,98.714191,972.540727
0,0,0.001,100,0.1513,95.765607,960.857235
0,0,0.001,100,0.1522,95.966607,958.453209
0,0,0.001,100,0.1532,96.128166,962.092149
0,0,0.001,100,0.1545,96.169344,962.863305
0,0,0.001,100,0.1522,95.956769,960.980912
0,0,0.001,1200,0.0793,62.058083,879.75885
0,0,0.001,1200,0.0803,61.468292,861.990239
0,0,0.001,1200,0.0847,64.192524,894.59088
0,0,0.001,1200,0.0776,61.03259,891.723455
0,0,0.001,1200,0.0807,62.957591,895.620304
0,0,0.001,300,0.133,90.360641,940.740881
0,0,0.001,300,0.1281,89.009124,954.248784
0,0,0.001,300,0.1337,90.457927,948.34262
0,0,0.001,300,0.1337,90.227807,954.108795
0,0,0.001,300,0.1323,90.241084,956.662021
0,0,0.001,600,0.1102,80.423735,925.581554
0,0,0.001,600,0.1109,81.334198,938.170894
0,0,0.001,600,0.1064,78.654388,917.388846
0,0,0.001,600,0.1055,78.755801,934.655949
0,0,0.001,600,0.106,78.731279,938.550419
0,0,0.0025,1,0.17875,99.001047,976.274058
0,0,0.0025,1,0.17875,99.02508,976.565599
0,0,0.0025,1,0.17875,99.006449,976.639328
0,0,0.0025,1,0.17775,98.994741,975.990477
0,0,0.0025,1,0.17775,98.992046,976.149705
0,0,0.0025,10,0.172,98.947954,971.724936
0,0,0.0025,10,0.172,98.946193,972.813982
0,0,0.0025,10,0.173,99.024375,973.693631
0,0,0.0025,10,0.172,98.975396,972.512809
0,0,0.0025,10,0.172,99.056083,973.583174
0,0,0.0025,100,0.155,96.425514,955.0115
0,0,0.0025,100,0.153,96.170327,948.266449
0,0,0.0025,100,0.151,95.94927,948.946689
0,0,0.0025,100,0.15475,96.183911,952.01203
0,0,0.0025,100,0.15575,96.444988,952.454984
0,0,0.0025,1200,0.08175,63.386149,873.034261
0,0,0.0025,1200,0.082,62.473034,859.023293
0,0,0.0025,1200,0.08475,64.5439,904.760689
0,0,0.0025,1200,0.087,66.113534,895.681749
0,0,0.0025,1200,0.0805,62.14883,892.648673
0,0,0.0025,300,0.132,89.894878,952.686212
0,0,0.0025,300,0.13575,91.146533,958.351002
0,0,0.0025,300,0.1355,90.932552,955.852942
0,0,0.0025,300,0.133,89.951421,959.780474
0,0,0.0025,300,0.135,90.797875,960.976017
0,0,0.0025,600,0.10925,79.779867,927.35877
0,0,0.0025,600,0.11225,81.78916,936.140798
0,0,0.0025,600,0.09575,73.708128,918.254858
0,0,0.0025,600,0.1095,80.27958,940.172466
0,0,0.0025,600,0.1115,80.981033,935.950479
1,0,0.00005,1,0.278305,119.308061,842.241476
1,0,0.00005,1,0.27871,119.318204,842.190822
1,0,0.00005,1,0.27709,119.294434,842.196421
1,0,0.00005,1,0.278775,119.32037,842.203713
1,0,0.00005,1,0.278295,119.313842,842.214867
1,0,0.00005,10,0.262805,118.61208,840.874534
1,0,0.00005,10,0.261885,118.574624,840.819649
1,0,0.00005,10,0.262685,118.606983,840.716831
1,0,0.00005,10,0.25936,118.426562,840.901296
1,0,0.00005,10,0.263125,118.61457,840.91792
1,0,0.00005,100,0.22786,114.58971,852.976285
1,0,0.00005,100,0.22856,114.605103,850.789756
1,0,0.00005,100,0.228275,114.580129,850.025555
1,0,0.00005,100,0.227255,114.483775,852.272186
1,0,0.00005,100,0.2292,114.73959,851.369579
1,0,0.00005,1200,0.09853,68.057458,827.641042
1,0,0.00005,1200,0.09336,66.00205,833.039002
1,0,0.00005,1200,0.097535,67.642059,821.508548
1,0,0.00005,1200,0.088285,63.477005,837.5571
1,0,0.00005,1200,0.097815,67.655981,825.822768
1,0,0.00005,300,0.18847,105.863077,864.590889
1,0,0.00005,300,0.17556,102.903019,862.644649
1,0,0.00005,300,0.18558,105.206143,865.311413
1,0,0.00005,300,0.18796,105.818503,867.492567
1,0,0.00005,300,0.183145,104.675587,870.130621
1,0,0.00005,600,0.135045,87.558169,864.370224
1,0,0.00005,600,0.13508,87.675371,869.788153
1,0,0.00005,600,0.137785,88.833459,863.503386
1,0,0.00005,600,0.14291,90.253968,863.517401
1,0,0.00005,600,0.143935,90.904414,871.760715
1,0,0.0001,1,0.27903,119.324168,842.273146
1,0,0.0001,1,0.27967,119.339682,842.246782
1,0,0.0001,1,0.27893,119.323603,842.225126
1,0,0.0001,1,0.27922,119.33361,842.23633
1,0,0.0001,1,0.27894,119.323656,842.265744
1,0,0.0001,10,0.26325,118.644778,840.857802
1,0,0.0001,10,0.26359,118.644192,840.88644
1,0,0.0001,10,0.2634,118.64108,840.71548
1,0,0.0001,10,0.26332,118.629695,840.731552
1,0,0.0001,10,0.26321,118.613566,840.868014
1,0,0.0001,100,0.22991,114.798718,852.200102
1,0,0.0001,100,0.22886,114.603566,849.590715
1,0,0.0001,100,0.22996,114.713848,850.123881
1,0,0.0001,100,0.22834,114.600064,852.495869
1,0,0.0001,100,0.22743,114.50022,851.688045
1,0,0.0001,1200,0.09998,68.927238,841.685265
1,0,0.0001,1200,0.08324,60.28576,837.941664
1,0,0.0001,1200,0.10408,70.680004,829.244369
1,0,0.0001,1200,0.10194,70.098128,845.975659
1,0,0.0001,1200,0.09235,65.268525,831.695143
1,0,0.0001,300,0.189,106.094684,867.841862
1,0,0.0001,300,0.18903,105.991293,865.007048
1,0,0.0001,300,0.18275,104.44071,861.293337
1,0,0.0001,300,0.18926,106.05136,869.951365
1,0,0.0001,300,0.19227,106.603637,869.568925
1,0,0.0001,600,0.13931,89.237519,868.468252
1,0,0.0001,600,0.14026,89.461132,865.430662
1,0,0.0001,600,0.13489,87.729658,865.055809
1,0,0.0001,600,0.13308,86.550884,871.176891
1,0,0.0001,600,0.12891,85.157834,868.830054
1,0,0.00025,1,0.2798,119.33831,842.361921
1,0,0.00025,1,0.27975,119.340084,842.348975
1,0,0.00025,1,0.2807,119.359962,842.328046
1,0,0.00025,1,0.279975,119.344314,842.350202
1,0,0.00025,1,0.2801,119.346144,842.345353
1,0,0.00025,10,0.263925,118.655579,840.882595
1,0,0.00025,10,0.26405,118.669866,840.869492
1,0,0.00025,10,0.2646,118.70196,840.720388
1,0,0.00025,10,0.2652,118.691874,840.730451
1,0,0.00025,10,0.26345,118.627851,840.83313
1,0,0.00025,100,0.22905,114.700649,852.115814
1,0,0.00025,100,0.2258,114.307089,850.316967
1,0,0.00025,100,0.2293,114.620671,849.182081
1,0,0.00025,100,0.231225,114.872105,853.2181
1,0,0.00025,100,0.227825,114.466611,851.308866
1,0,0.00025,1200,0.104525,71.10543,847.478337
1,0,0.00025,1200,0.103775,70.979725,838.183839
1,0,0.00025,1200,0.097,67.107894,830.028861
1,0,0.00025,1200,0.101625,69.865713,844.059216
